,legit,dga,accuracy,macro avg,weighted avg
precision,0.9511966213045518,0.9605318320656404,0.9558156763965032,0.9558642266850962,0.9558635350855436
recall,0.960948148148148,0.9506816834617664,0.9558156763965032,0.9558149158049573,0.9558156763965032
f1-score,0.9560475193821302,0.955581374564304,0.9558156763965032,0.9558144469732172,0.9558144815075792
support,33750.0,33740.0,0.9558156763965032,67490.0,67490.0
precision,0.9587358378056052,0.9530486008836524,0.9558749444362128,0.9558922193446288,0.9558926406838584
recall,0.9527703703703704,0.9589804386484884,0.9558749444362128,0.9558754045094294,0.9558749444362128
f1-score,0.9557437955119632,0.956005318363126,0.9558749444362128,0.9558745569375446,0.9558745375626112
support,33750.0,33740.0,0.9558749444362128,67490.0,67490.0
precision,0.9436165577342048,0.9617117798276122,0.9524818491628392,0.9526641687809084,0.9526628281954816
recall,0.9624888888888888,0.942471843509188,0.9524818491628392,0.9524803661990384,0.9524818491628392
f1-score,0.9529592959295928,0.9519946111817976,0.9524818491628392,0.9524769535556954,0.9524770250244128
support,33750.0,33740.0,0.9524818491628392,67490.0,67490.0
precision,0.9501149154340268,0.9551442536957558,0.9526152022521857,0.9526295845648912,0.9526292119661166
recall,0.9554074074074074,0.9498221695317132,0.9526152022521857,0.9526147884695602,0.9526152022521857
f1-score,0.9527538116061932,0.9524757772097724,0.9526152022521857,0.9526147944079828,0.9526148150061748
support,33750.0,33740.0,0.9526152022521857,67490.0,67490.0
precision,0.9444138211146248,0.9637503406922868,0.9538746480960142,0.9540820809034556,0.954080648356443
recall,0.9645333333333334,0.9432128037937166,0.9538746480960142,0.953873068563525,0.9538746480960142
f1-score,0.9543675515618816,0.9533709800632104,0.9538746480960142,0.9538692658125458,0.9538693396435948
support,33750.0,33740.0,0.9538746480960142,67490.0,67490.0
precision,0.9426141476299672,0.96137897636127,0.9518002667061788,0.9519965619956186,0.9519951718023506
recall,0.9621925925925926,0.9414048606994664,0.9518002667061788,0.9517987266460296,0.9518002667061788
f1-score,0.9523027521590592,0.9512870812680632,0.9518002667061788,0.9517949167135612,0.9517949919595896
support,33750.0,33740.0,0.9518002667061788,67490.0,67490.0
precision,0.953942487461792,0.9525049566478264,0.9532226996592088,0.9532237220548092,0.9532238285543508
recall,0.9524444444444444,0.9540011855364552,0.9532226996592088,0.9532228149904498,0.9532226996592088
f1-score,0.9531928773703796,0.9532524839707996,0.9532226996592088,0.9532226806705896,0.9532226762546318
support,33750.0,33740.0,0.9532226996592088,67490.0,67490.0
precision,0.9574766494583868,0.9510285764737044,0.9542302563342716,0.9542526129660456,0.9542530906718528
recall,0.9506962962962964,0.9577652637818612,0.9542302563342716,0.9542307800390788,0.9542302563342716
f1-score,0.9540744264878608,0.954385032265686,0.9542302563342716,0.9542297293767734,0.9542297063655288
support,33750.0,33740.0,0.9542302563342716,67490.0,67490.0
precision,0.9530264631343196,0.9580079871252308,0.95550320056899,0.9555172251297752,0.955516856062386
recall,0.958250614833032,0.9527549719908712,0.95550320056899,0.9555027934119515,0.95550320056899
f1-score,0.9556313993174058,0.9553742588382148,0.95550320056899,0.9555028290778104,0.9555028481286404
support,33749.0,33739.0,0.95550320056899,67488.0,67488.0
precision,0.9552061350057962,0.9522852837769965,0.9537412950066676,0.9537457093913964,0.9537459690610862
recall,0.952149565938787,0.9553335902071787,0.9537412950066676,0.9537415780729828,0.9537412950066676
f1-score,0.9536754013710419,0.9538070014500045,0.9537412950066676,0.9537412014105232,0.9537411897110052
support,33751.0,33739.0,0.9537412950066676,67490.0,67490.0
